RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,,ROUND,SQRT,ROUND Q,MAX BALANCE #,250898.09,RANK,LEFT,RIGHT,LEN
1,15634602,Hargrave,619,France,Female,42,2,0,1,1,1,101348.88,1,,0,0,0,MIN BALANCE #,0,4931,F,634602,8
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,,83808,289.496114,289,AVERAGE BALANCE #,76485.88929,4360,F,647311,4
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,,159661,399.5760253,400,SUM BALANCE #,764858892.9,4292,F,619304,4
4,15701354,Boni,699,France,Female,39,1,0,2,0,0,93826.63,0,,0,0,0,,,5295,F,701354,4
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,,125511,354.2753167,354,,,6074,F,737888,8
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,,113756,337.277334,337,,,2468,M,574012,3
7,15592531,Bartlett,822,France,Male,50,7,0,2,1,1,10062.8,0,,0,0,0,,,9487,M,592531,8
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,,115047,339.1857898,339,,,4021,F,656148,6
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,,142051,376.8965375,377,,,6281,M,792365,2
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,,134604,366.8841779,367,,,6449,M,592389,2
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,,102017,319.4010019,319,,,6005,M,767821,6
12,15737173,Andrews,497,Spain,Male,24,3,0,2,1,0,76390.01,0,,0,0,0,,,6216,M,737173,7
13,15632264,Kay,476,France,Female,34,10,0,2,1,0,26260.98,0,,0,0,0,,,8716,F,632264,3
14,15691483,Chin,549,France,Female,25,5,0,2,0,0,190857.79,0,,0,0,0,,,470,F,691483,4
15,15600882,Scott,635,Spain,Female,35,7,0,2,1,1,65951.65,0,,0,0,0,,,6723,F,600882,5
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,,143129,378.3239353,378,,,6817,M,643966,7
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,,132603,364.1469484,364,,,9731,M,737452,5
18,15788218,Henderson,549,Spain,Female,24,9,0,2,1,1,14406.41,0,,0,0,0,,,9273,F,788218,9
19,15661507,Muldrow,587,Spain,Male,45,6,0,1,0,0,158684.81,0,,0,0,0,,,2065,M,661507,7
20,15568982,Hao,726,France,Female,24,6,0,2,1,1,54724.03,0,,0,0,0,,,7312,F,568982,3
21,15577657,McDonald,732,France,Male,41,8,0,2,1,1,170886.17,0,,0,0,0,,,1469,M,577657,8
22,15597945,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555.46,0,,0,0,0,,,3037,F,597945,8
23,15699309,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913.53,1,,0,0,0,,,4044,F,699309,9
24,15725737,Mosman,669,France,Male,46,3,0,2,0,1,8487.75,0,,0,0,0,,,9582,M,725737,6
25,15625047,Yen,846,France,Female,38,5,0,1,1,1,187616.16,0,,0,0,0,,,632,F,625047,3
26,15738191,Maclean,577,France,Male,25,3,0,2,0,1,124508.29,0,,0,0,0,,,3756,M,738191,7
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,,136816,369.8864691,370,,,1513,M,736816,5
28,15700772,Nebechi,571,France,Male,44,9,0,2,0,0,38433.35,0,,0,0,0,,,8110,M,700772,7
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,,141349,375.964094,376,,,5001,F,728693,10
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,,59697,244.3296953,244,,,7376,M,656300,8
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1,,0,0,0,,,2951,F,589475,7
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,,85312,292.0821802,292,,,2166,M,706552,13
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,,110113,331.8327892,332,,,5919,M,750181,9
34,15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0,,0,0,0,,,8315,F,659428,7
35,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0,,0,0,0,,,2868,F,732963,8
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,,134264,366.4205234,366,,,8626,F,794171,8
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,,145260,381.1298991,381,,,4287,M,788448,6
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,,76549,276.6748995,277,,,5076,M,729599,7
39,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0,,0,0,0,,,8009,M,717426,9
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,,70349,265.2338591,265,,,1085,M,585768,7
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0,,0,0,0,,,6529,M,619360,5
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,,122522,350.0314272,350,,,919,F,738148,6
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,,117419,342.664559,343,,,5275,F,687946,7
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,,131395,362.4844824,362,,,290,F,755196,6
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,,155931,394.8809947,395,,,2088,F,684171,7
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,,109421,330.788452,331,,,3639,F,754849,5
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,,112046,334.7327292,335,,,4001,F,602280,6
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,,137844,371.2734841,371,,,4098,F,771573,7
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,,103391,321.5447092,322,,,5466,M,766205,3
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,,103769,322.1319605,322,,,305,F,771873,6
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,,116363,341.1202134,341,,,103,M,616550,10
